U+1B41F	SHUISHU LOGOGRAM DIG7-C
U+1B420	SHUISHU LOGOGRAM YI2
U+1B421	SHUISHU LOGOGRAM LWA1
U+1B422	SHUISHU LOGOGRAM PYA3
U+1B423	SHUISHU LOGOGRAM SAAM3
U+1B424	SHUISHU LOGOGRAM HEN5
U+1B425	SHUISHU LOGOGRAM DIG7 XGAAN2
U+1B426	SHUISHU LOGOGRAM XU1
U+1B427	SHUISHU LOGOGRAM QYON1
U+1B428	SHUISHU LOGOGRAM DAO2
U+1B429	SHUISHU LOGOGRAM BAAD7
U+1B42A	SHUISHU LOGOGRAM DU3 HA3
U+1B42B	SHUISHU LOGOGRAM FA3
U+1B42C	SHUISHU LOGOGRAM NUN2
U+1B42D	SHUISHU LOGOGRAM GGAAM1
U+1B42E	SHUISHU LOGOGRAM BYAAN6-B
U+1B42F	SHUISHU LOGOGRAM SA5
U+1B430	SHUISHU LOGOGRAM JIU2
U+1B431	SHUISHU LOGOGRAM ZUI2
U+1B432	SHUISHU LOGOGRAM GEN3 SUI3 XGEN4
U+1B433	SHUISHU LOGOGRAM NDONG5
U+1B434	SHUISHU LOGOGRAM SEI5
U+1B435	SHUISHU LOGOGRAM JA6
U+1B436	SHUISHU LOGOGRAM JI2
U+1B437	SHUISHU LOGOGRAM ZI3 LYEEU3
U+1B438	SHUISHU LOGOGRAM GA3
U+1B439	SHUISHU LOGOGRAM HAAN5
U+1B43A	SHUISHU LOGOGRAM DANG3
U+1B43B	SHUISHU LOGOGRAM DA5 WYAAN5
U+1B43C	SHUISHU LOGOGRAM NI4 FU5
U+1B43D	SHUISHU LOGOGRAM DONG2 SEI5
U+1B43E	SHUISHU LOGOGRAM NGO4 GGUI5
U+1B43F	SHUISHU LOGOGRAM MEI4 DYED7
U+1B440	SHUISHU LOGOGRAM MBYAANG1 OU4
U+1B441	SHUISHU LOGOGRAM TU3
U+1B442	SHUISHU LOGOGRAM NGO4
U+1B443	SHUISHU LOGOGRAM ZYEENG1
U+1B444	SHUISHU LOGOGRAM SU3-B
U+1B445	SHUISHU LOGOGRAM JU2
U+1B446	SHUISHU LOGOGRAM DEN3
U+1B447	SHUISHU LOGOGRAM DYUNG3
U+1B448	SHUISHU LOGOGRAM QBEN1
U+1B449	SHUISHU LOGOGRAM LYOG8-B
U+1B44A	SHUISHU LOGOGRAM MI6
U+1B44B	SHUISHU LOGOGRAM YONG6
U+1B44C	SHUISHU LOGOGRAM SEN2
U+1B44D	SHUISHU LOGOGRAM GGEE4
U+1B44E	SHUISHU LOGOGRAM NU2
U+1B44F	SHUISHU LOGOGRAM SA5 XEEN2
U+1B450	SHUISHU LOGOGRAM GGEENG1
U+1B451	SHUISHU LOGOGRAM HEN2-B
U+1B452	SHUISHU LOGOGRAM DU3 DONG2
U+1B453	SHUISHU LOGOGRAM QNNAM5
U+1B454	SHUISHU LOGOGRAM NNI6 SUB8
U+1B455	SHUISHU LOGOGRAM GGAM1
U+1B456	SHUISHU LOGOGRAM QBAAN3
U+1B457	SHUISHU LOGOGRAM HEE4
U+1B458	SHUISHU LOGOGRAM BEE1
U+1B459	SHUISHU LOGOGRAM XGGAO3
U+1B45A	SHUISHU LOGOGRAM XU1 YU3
U+1B45B	SHUISHU LOGOGRAM MEI4 NNEI3
U+1B45C	SHUISHU LOGOGRAM MEE2 DU3 QDAO3
U+1B45D	SHUISHU LOGOGRAM XEEN2
U+1B45E	SHUISHU LOGOGRAM YEN2
U+1B45F	SHUISHU LOGOGRAM GWUN5
U+1B460	SHUISHU LOGOGRAM VAANG1
U+1B461	SHUISHU LOGOGRAM GGAM4
U+1B462	SHUISHU LOGOGRAM JEEN2
U+1B463	SHUISHU LOGOGRAM NDA1
U+1B464	SHUISHU LOGOGRAM BYA6 SEENG1 DOU2
U+1B465	SHUISHU LOGOGRAM SID7
U+1B466	SHUISHU LOGOGRAM GWAAN1
U+1B467	SHUISHU LOGOGRAM QXGA5
U+1B468	SHUISHU LOGOGRAM DA6
U+1B469	SHUISHU LOGOGRAM GWON3 QYEN5
U+1B46A	SHUISHU LOGOGRAM ZAN6
U+1B46B	SHUISHU LOGOGRAM NNAO6-B
U+1B46C	SHUISHU LOGOGRAM QXGA5 VA2
U+1B46D	SHUISHU LOGOGRAM GU3 GGON4
U+1B46E	SHUISHU LOGOGRAM DON2 XGON2
U+1B46F	SHUISHU LOGOGRAM TYEEN1 GGAANG1
U+1B470	SHUISHU LOGOGRAM MBAAN1
U+1B471	SHUISHU LOGOGRAM HONG5
U+1B472	SHUISHU LOGOGRAM BYED8-B
U+1B473	SHUISHU LOGOGRAM SOG8-B
U+1B474	SHUISHU LOGOGRAM KUI3
U+1B475	SHUISHU LOGOGRAM MAN6-B
U+1B476	SHUISHU LOGOGRAM JID7
U+1B477	SHUISHU LOGOGRAM HAI1
U+1B478	SHUISHU LOGOGRAM KKAAM3
U+1B479	SHUISHU LOGOGRAM GGAD7
U+1B47A	SHUISHU LOGOGRAM ZI6
U+1B47B	SHUISHU LOGOGRAM HUI6 DAANG2
U+1B47C	SHUISHU LOGOGRAM DAO5 AAN1
U+1B47D	SHUISHU LOGOGRAM LOG7
U+1B47E	SHUISHU LOGOGRAM PA5-A
U+1B47F	SHUISHU LOGOGRAM QNGEE3
U+1B480	SHUISHU LOGOGRAM HAAG8
U+1B481	SHUISHU LOGOGRAM AO1
U+1B482	SHUISHU LOGOGRAM LAAG8 MBAAN1
U+1B483	SHUISHU LOGOGRAM NDU3
U+1B484	SHUISHU LOGOGRAM LANG6
U+1B485	SHUISHU LOGOGRAM DAAB7
U+1B486	SHUISHU LOGOGRAM XING1 NDA1
U+1B487	SHUISHU LOGOGRAM BYA6
U+1B488	SHUISHU LOGOGRAM DO1 FAANG1
U+1B489	SHUISHU LOGOGRAM HNNAANG3
U+1B48A	SHUISHU LOGOGRAM MYEEN2
U+1B48B	SHUISHU LOGOGRAM QDYA1
U+1B48C	SHUISHU LOGOGRAM SEE1
U+1B48D	SHUISHU LOGOGRAM FAAM4
U+1B48E	SHUISHU LOGOGRAM SAO5
U+1B48F	SHUISHU LOGOGRAM BAI1 QNUG7
U+1B490	SHUISHU LOGOGRAM DEI2
U+1B491	SHUISHU LOGOGRAM MEI4 NUG8 SAO5
U+1B492	SHUISHU LOGOGRAM GGAN5
U+1B493	SHUISHU LOGOGRAM HUI6
U+1B494	SHUISHU LOGOGRAM YONG2
U+1B495	SHUISHU LOGOGRAM NAI6
U+1B496	SHUISHU LOGOGRAM KKOU3-B
U+1B497	SHUISHU LOGOGRAM NDAAN5
U+1B498	SHUISHU LOGOGRAM DYUM1-B
U+1B499	SHUISHU LOGOGRAM XEN1-B
U+1B49A	SHUISHU LOGOGRAM HAI1 GGONG1
U+1B49B	SHUISHU LOGOGRAM VAANG6
U+1B49C	SHUISHU LOGOGRAM DANG1
U+1B49D	SHUISHU LOGOGRAM NDYEI3
U+1B49E	SHUISHU LOGOGRAM ZUD7
U+1B49F	SHUISHU LOGOGRAM XI5
U+1B4A0	SHUISHU LOGOGRAM XI5 HAAN5
U+1B4A1	SHUISHU LOGOGRAM AM5
U+1B4A2	SHUISHU LOGOGRAM XEEN6
U+1B4A3	SHUISHU LOGOGRAM JA1
U+1B4A4	SHUISHU LOGOGRAM BAAD7 BYEN2
U+1B4A5	SHUISHU LOGOGRAM GUM1
U+1B4A6	SHUISHU LOGOGRAM BYEEG7 LYEEG7
U+1B4A7	SHUISHU LOGOGRAM XED7-B
U+1B4A8	SHUISHU LOGOGRAM DO1
U+1B4A9	SHUISHU LOGOGRAM SAI3
U+1B4AA	SHUISHU LOGOGRAM HAN5 VI1
U+1B4AB	SHUISHU LOGOGRAM HAI2
U+1B4AC	SHUISHU LOGOGRAM BYAI2
U+1B4AD	SHUISHU LOGOGRAM BYAI2 LAO4
U+1B4AE	SHUISHU LOGOGRAM KUN1
U+1B4AF	SHUISHU LOGOGRAM GGO1 JEN1
U+1B4B0	SHUISHU LOGOGRAM PA5-B
U+1B4B1	SHUISHU LOGOGRAM DU3 ZEN3
U+1B4B2	SHUISHU LOGOGRAM LUI5
U+1B4B3	SHUISHU LOGOGRAM BU2
U+1B4B4	SHUISHU LOGOGRAM DUI2 NDONG5
U+1B4B5	SHUISHU LOGOGRAM JU3 PEN1
U+1B4B6	SHUISHU LOGOGRAM JU3 GGAO3
U+1B4B7	SHUISHU LOGOGRAM MAANG1
U+1B4B8	SHUISHU LOGOGRAM JUI3 JUM1 YAANG2
U+1B4B9	SHUISHU LOGOGRAM REN1-B
U+1B4BA	SHUISHU LOGOGRAM DAN3 NDONG5
U+1B4BB	SHUISHU LOGOGRAM GGUI5-B
U+1B4BC	SHUISHU LOGOGRAM NYU4 TU3 FOG8
U+1B4BD	SHUISHU LOGOGRAM REN1 DEI2 XAANG1
U+1B4BE	SHUISHU LOGOGRAM REN1 DYAM2 BYA2
U+1B4BF	SHUISHU LOGOGRAM HEE4 FAAB7
U+1B4C0	SHUISHU LOGOGRAM REN1 DEI2 JI2
U+1B4C1	SHUISHU LOGOGRAM DEI1 ZOU6 REN1
U+1B4C2	SHUISHU LOGOGRAM XGA2 FAI4 NU4
U+1B4C3	SHUISHU LOGOGRAM LOI2 JUM1 GGOU3
U+1B4C4	SHUISHU LOGOGRAM JI1 NGA6 MA4
U+1B4C5	SHUISHU LOGOGRAM SYAANG1 NNED8 MA4
U+1B4C6	SHUISHU LOGOGRAM FA2
U+1B4C7	SHUISHU LOGOGRAM GUI2
U+1B4C8	SHUISHU LOGOGRAM JI1 NGA6 HMU5
U+1B4C9	SHUISHU LOGOGRAM SAM5 SUI3 YON2
U+1B4CA	SHUISHU LOGOGRAM MA4
U+1B4CB	SHUISHU LOGOGRAM MON6
U+1B4CC	SHUISHU LOGOGRAM HOI3 FA3 XGGOU1
U+1B4CD	SHUISHU LOGOGRAM SU1 NNED8 SU1
U+1B4CE	SHUISHU LOGOGRAM FONG2 NNED8 TU5
U+1B4CF	SHUISHU LOGOGRAM BYED7 FA3 ZU1
U+1B4D0	SHUISHU LOGOGRAM DEE1 TU3 LAAG8
U+1B4D1	SHUISHU LOGOGRAM NI4 FA3 HU3
U+1B4D2	SHUISHU LOGOGRAM NNU2 JUM1 NNU2
U+1B4D3	SHUISHU LOGOGRAM SEENG1 LAO4
U+1B4D4	SHUISHU LOGOGRAM JI1 NGA6 GGAI5
U+1B4D5	SHUISHU LOGOGRAM EEB7
U+1B4D6	SHUISHU LOGOGRAM NGAAN6
U+1B4D7	SHUISHU LOGOGRAM NYU4 NNOD8 IN5
U+1B4D8	SHUISHU LOGOGRAM NGA2 NNID8 JI1
U+1B4D9	SHUISHU LOGOGRAM BYED7 NNOD8 U1
U+1B4DA	SHUISHU LOGOGRAM NGA2 TU3 DI6
U+1B4DB	SHUISHU LOGOGRAM XEEU3 MOG8 NGAAN6
U+1B4DC	SHUISHU LOGOGRAM YED8 FA3 SYA2
U+1B4DD	SHUISHU LOGOGRAM GGAM5 JUM1 LYONG2
U+1B4DE	SHUISHU LOGOGRAM GGAM5 MOG8 GGAO1
U+1B4DF	SHUISHU LOGOGRAM BYED7 SUI3 XI1
U+1B4E0	SHUISHU LOGOGRAM MOM6
U+1B4E1	SHUISHU LOGOGRAM VYEN5 MOM6
U+1B4E2	SHUISHU LOGOGRAM LU4 TU3 ZAANG1
U+1B4E3	SHUISHU LOGOGRAM DU4 MOG8 HAI5
U+1B4E4	SHUISHU LOGOGRAM LU1
U+1B4E5	SHUISHU LOGOGRAM ZING5
